屋号商号, 営業所町名, 営業所住所1, 営業所住所2, 営業所電話番号, 業種業態名称, 営業者氏名, 許可年月日, 許可番号
(株)　巴川製紙所　静岡事業所　２Ｆ研本,駿河区用宗巴町,３番１号,,054-257-6262,喫茶店営業（喫茶店） 注）自販機,株式会社　アペックス,2015/06/03,30019963
ｃｌｕｂ　Ｌａｔｔｅ,葵区両替町二丁目,７番地の９,第二西村ビル１階,054-251-5191,飲食店営業（バー）,株式会社　ＪＳ１,2015/06/12,30019978
Ｃｌｕｂ　紫苑,葵区両替町二丁目,５番地の２３,リッツビル１階,054-251-0806,飲食店営業（バー）,株式会社　ＪＳ１,2015/06/17,30019991
ｅｎ,葵区常磐町一丁目,１番地の７,オクトトキワビル５階Ａ,,飲食店営業（バー）,増田　洋之,2015/06/12,30019982
ＦＩＥＳＴＡ　ＧＡＲＣＩＡ,清水区港南町,１番１１号,,,飲食店営業（バー）,サベドラ　ガルシア　フレディ　オマール,2015/06/04,50009750
Ｇａｅｓｔ．,葵区呉服町二丁目,６番地の１,ＧＤＳワシントンビル３Ｆ,054-252-1418,飲食店営業（食堂）,有限会社　橋本酒造,2015/06/25,30020011
Ｇｒｅｅｎ　ｌｅａｖｅｓ　Ｍａｌｌ,葵区追手町,８番２号,静岡赤十字病院,054-255-1766,喫茶店営業（喫茶店）,株式会社　光洋,2015/06/17,30019994
ＫＢ企画,内一円,,,,飲食店営業（露店）,佐野　未歩,2015/06/24,50009761
ｌｅｇ,葵区両替町二丁目,３番地の１２,千両ビルＢ１Ｆ,,飲食店営業（バー）,池ヶ谷　善子,2015/06/02,30019961
ＭＡＮＡＭＩ,清水区銀座,１２番１３号,,054-366-7760,飲食店営業（酒場）,千葉　まなみ,2015/06/25,50009764
ｍｉｍｉネ,葵区両替町二丁目,３番地の３,青葉小路１１号店,054-272-8029,飲食店営業（食堂）,鄭　惠辰,2015/06/09,30019966
ｍｏｎ　ｃｈｏｕ　ｃｈｏｕ,駿河区下島,１３０番地の２,,,飲食店営業（食堂）,佐藤　美紀,2015/06/02,30019956
ＰＩＺＺＥＲＩＡ＆ＢＡＲ　ＳＥＲＥＮＯ,駿河区南町,５番３４号,ナカムラビル１Ｆ,054-284-7504,飲食店営業（バー）,青柳　敏明,2015/06/02,30019962
ＲＡＩＮＢＡＲ,葵区駿河町,７番地の５,,054-269-6292,飲食店営業（食堂）,武藤　未来,2015/06/09,30019967
Ｓｈａｎｇｒｉ－Ｌａ,葵区両替町二丁目,４番地の１０,ライブネット両替町ビル１階,,飲食店営業（バー）,株式会社　ＪＳ１,2015/06/23,30020002
ＳＬＯＷ,内一円,,,054-255-5258,飲食店営業（露店）,有限会社　ジュリア,2015/06/30,30020020
Ｓｎａｃｋ　Ｈｅａｖｅｎ,駿河区宮本町,５番７号,,054-286-1481,飲食店営業（酒場）,内野　知美,2015/06/12,30019986
Ｓｗｅｅｔｓ　Ｃａｆｅ　ＧＯＬＧＯ,葵区宮ヶ崎町,８番地,,054-260-4992,飲食店営業（食堂）,宇田川　聡,2015/06/23,30020003
Ｓｗｅｅｔｓ　Ｃａｆｅ　ＧＯＬＧＯ,葵区宮ヶ崎町,８番地,,054-260-4992,飲食店営業（弁当屋）,宇田川　聡,2015/06/23,30020004
ＴＨＡＲＡＷＯＮ,駿河区泉町,５番１３号,１階,,食肉販売業（包装食肉）,ＭＡＬＡＲ　ＴＨＡＵＮＧ,2015/06/16,30019988
ＵＪカンパニー,内一円,,,,飲食店営業（露店）,阿久根　有史,2015/06/24,30020008
