屋号商号, 営業所町名, 営業所住所1, 営業所住所2, 営業所電話番号, 業種業態名称, 営業者氏名, 許可年月日, 許可番号
(株)　朝旭,内一円,,,,飲食店営業（露店）,株式会社　朝旭,2015/07/23,30020116
(株)　浜佐商店,内一円,,,,飲食店営業（露店）,株式会社　浜佐商店,2015/07/02,30020042
ＡＤＡＭ,葵区両替町二丁目,４番地の９,フィエスタ両替町４階Ａ号,,飲食店営業（バー）,中村　拓貴,2015/07/21,30020083
ＡＫＩ,清水区岡町,１番４号,,,飲食店営業（酒場）,清水　明穂,2015/07/27,50009787
Ｃａｆｅ　Ｂａｒ　Ｃｒｅｅｄ,葵区両替町二丁目,３番地の２,ＮＳコート３階３－ＪＫ室,,飲食店営業（バー）,望月　大希,2015/07/29,30020127
ｃａｆｅ　ｂａｓｓｏ,駿河区下川原六丁目,２６番１５号,,054-260-4099,飲食店営業（食堂）,末廣建設　株式会社,2015/07/07,30020050
ＣＡＦＥ＆ＢＡＲ　Ｂｅｔｔｙ,葵区七間町,１１番地の５,イマココ　２階－東,054-251-3990,飲食店営業（バー）,錦戸　祐助,2015/07/21,30020082
ｃｌｕｂ　Ｅｌｉｓｅ,葵区紺屋町,４番地の１２,ホワイトホライズンビル２階,054-255-5554,飲食店営業（バー）,加納　弘樹,2015/07/07,30020049
Ｃｌｕｂ　ＦＵＧＡ,葵区両替町二丁目,７番地の８,十の字ビル３階,054-221-1820,飲食店営業（バー）,鈴木　一樹,2015/07/07,30020046
ＣＯＮＡ　静岡両替町店,葵区両替町二丁目,５番地の４,プラザビル１Ｆ南,054-251-6622,飲食店営業（食堂）,株式会社　Ｋ－Ｏｎｅ,2015/07/22,30020110
ＥＮＴＥＲＧＥＡＲ,内一円,,,,飲食店営業（露店）,ＥＮＴＥＲＧＥＡＲ　株式会社,2015/07/30,30020134
ＦＯＯＤ　ＣＯＭＰＡＮＹ,葵区長沼,６２２番地,,054-655-3131,飲食店営業（仕出し屋）,株式会社　ゼネラルマネジメント,2015/07/13,30020072
Ｈｏｎｅｙ　Ｊｅｗｅｌ,葵区両替町二丁目,３番地の４,両替町ＳＴビル３階,054-260-5617,飲食店営業（バー）,穐山　学,2015/07/13,30020069
Ｈｕｍｍｉｎｇｂｉｒｄ　ＴＡＣＯ　ＴＲＡＣＫ,駿河区馬渕四丁目,１３番３８号,,,飲食店営業（自動車）,磯貝　公晴,2015/07/21,30020092
ＩＬ　ＢＡＲ　ＡＳＴＹ静岡店,葵区黒金町,４７番地,アスティ静岡西館,054-288-1009,飲食店営業（食堂）,有限会社　トークインコーポレーション,2015/07/01,30020027
ＬＩＴＲＥ,葵区鷹匠二丁目,１番２号,２Ｆ,,飲食店営業（食堂）,本間　裕崇,2015/07/22,30020108
Ｍａｒｉ　Ｍａｒ,葵区両替町二丁目,３番地の２７,両替第一ビル３階,054-250-8060,飲食店営業（バー）,ＭＯＲＩＴＡ　ＲＯＳＩＴＡ　ＢＲＩＮ,2015/07/07,30020045
ＭＡＲＴＡ,内一円,,,,飲食店営業（露店）,株式会社　Ｍ．Ａ．Ｃ,2015/07/09,30020060
Ｐａｃｋｅｒ’ｓ　Ｇａｔｅ,葵区両替町二丁目,４番地の２０,玄南ビル３階,054-255-6660,飲食店営業（バー）,西畠　克,2015/07/07,30020047
Ｐａｎｃｈａｖａｔｉ,内一円,,,,飲食店営業（露店）,田中　健,2015/07/02,30020041
Ｓ－ＮＥＴ静岡(株)　清水船越給油所,清水区北矢部,７７６番地の１１,,054-237-1311,飲食店営業（食堂） 注）自販機,株式会社　ジャパンビバレッジホールディングス,2015/07/27,50009786
Ｓ－ＮＥＴ静岡（株）　静岡高松給油所,駿河区敷地一丁目,３番３０号,,054-237-1311,飲食店営業（食堂） 注）自販機,株式会社　ジャパンビバレッジホールディングス,2015/07/24,30020118
Ｓ－ＮＥＴ静岡（株）　静岡手越原給油所,駿河区手越原,６９番地の１,,054-237-1311,飲食店営業（食堂） 注）自販機,株式会社　ジャパンビバレッジホールディングス,2015/07/24,30020119
Ｔ’ｓ　ｇｒｅｅｎ,駿河区鎌田,７１番地の１４,,,飲食店営業（食堂）,株式会社　Ｔ’ｓ　ｇｒｅｅｎ,2015/07/22,30020105
Ｔ’ｓ　ｇｒｅｅｎ,駿河区鎌田,７１番地の１４,,,菓子製造業,株式会社　Ｔ’ｓ　ｇｒｅｅｎ,2015/07/22,30020106
ＴＡＫＥＵＭＡ,葵区呉服町二丁目,５番地の２１,ノザレビル３Ｆ,054-274-0607,飲食店営業（酒場）,株式会社　Ｈｉｇｇｓ,2015/07/21,30020088
ＴＥＴＳＵ家,葵区瀬名二丁目,２４番２６号,ベラーダ・デ・リオ瀬名１０１,054-265-9167,飲食店営業（露店） 注）自動車,杉山　哲也,2015/07/13,30020074
ＴＨＥ　ＢＩＢＡＮＤＡＭ,葵区七間町,１３番地の１２,藤ビル２階,,飲食店営業（酒場）,海野　陽平,2015/07/29,30020126
Trattoria Pizzeria LOGIC shizuoka,葵区紺屋町,７番地の４,サハラビル１階,054-275-1555,飲食店営業（食堂）,株式会社　オーイズミフーズ,2015/07/01,30020034
イトーヨーカ堂　静岡店,駿河区曲金三丁目,１番５号,,054-282-7111,飲食店営業（食堂）,株式会社　イトーヨーカ堂,2015/07/27,30020121
カステラ,内一円,,,,飲食店営業（露店）,大森　光生,2015/07/08,30020056
カラオケ・スナック　昭和,清水区蒲原中,４９８番地の１,,054-385-7298,飲食店営業（バー）,仁部　明彦,2015/07/13,50009781
カラオケ喫茶　スナック　華あかり,葵区羽鳥六丁目,１番３号,前田コーポ１０７号,054-297-5585,飲食店営業（バー）,花村　マサ,2015/07/27,30020122
こねくとカフェ,葵区両替町二丁目,５番地の７,花崎ビル３Ｆ,054-221-1512,飲食店営業（バー）,金島　浩司,2015/07/07,30020051
サークルＫ　静岡おしか店,駿河区小鹿,３８８番地の１,,054-202-2571,飲食店営業（その他）,望月　茂樹,2015/07/01,30020022
サークルＫ　静岡おしか店,駿河区小鹿,３８８番地の１,,054-202-2571,菓子製造業,望月　茂樹,2015/07/01,30020023
サークルＫ　静岡おしか店,駿河区小鹿,３８８番地の１,,054-202-2571,乳類販売業,望月　茂樹,2015/07/01,30020024
サークルＫ　静岡おしか店,駿河区小鹿,３８８番地の１,,054-202-2571,食肉販売業（包装食肉）,望月　茂樹,2015/07/01,30020025
さすぼし蒲鉾株式会社,清水区由比,６７番地の９,,054-377-1070,飲食店営業（食堂）,さすぼし蒲鉾　株式会社,2015/07/06,50009777
サンタモンケータリングサービス,内一円,,,,飲食店営業（露店）,株式会社　サンタモンコーポレーション,2015/07/22,30020109
ステーキダイナー　アリヨシ　静岡駅南店,駿河区敷地二丁目,２５番１０号,,,飲食店営業（食堂）,　秀永,2015/07/01,30020028
セブンイレブン静岡登呂ｓｓ店,駿河区有東二丁目,４番３０号,,054-282-3066,飲食店営業（その他）,日星石油　株式会社,2015/07/21,30020089
セブンイレブン静岡登呂ｓｓ店,駿河区有東二丁目,４番３０号,,054-282-3066,乳類販売業,日星石油　株式会社,2015/07/21,30020090
セブンイレブン静岡登呂ｓｓ店,駿河区有東二丁目,４番３０号,,054-282-3066,食肉販売業（包装食肉）,日星石油　株式会社,2015/07/21,30020091
タイ料理　サイアム,葵区両替町二丁目,２番地の７,第二カドデビル　ＢＦ,054-251-5257,飲食店営業（食堂）,石井　俊也,2015/07/27,30020124
